,utterance_id,gender,age,speaker_id,expression,manual_transcription,discrete_emotion_collection_phase,discrete_emotion_annotation_phase,valence_annotation_phase,arousal_annotation_phase,split,path,target
14,902,f,adult,302,acted,TUČE ME ZASTAJK VIDI ŠTA MI JE NAPRAVIO ZASTAJK KO DA SAM NJEGOVO VLASNIŠTVO,sadness,sadness,2.009423707,5.827419949,train,cres_v2.1/audio_files_16000/902.wav,sadness
15,1044,f,adult,301,real,PREDSJEDNIK DEMOKRATSKOG CENTRA MATE GRANIĆ POVLAČI SE S TE DUŽNOSTI,neutral,neutral,5.026509231,5.517093762,train,cres_v2.1/audio_files_16000/1044.wav,neutral
16,896,f,adult,300,acted,CMIZDR STAANISLAHAV,sadness,sadness,1.079697337,8.913924265,train,cres_v2.1/audio_files_16000/896.wav,sadness
17,1035,f,child,298,real,PREMLAD JE DA BI UMRO UDH MOGO JE OGROMNO TOGA NAPRAVITI OSVOJITI,sadness,sadness,2.079070343,7.172534017,train,cres_v2.1/audio_files_16000/1035.wav,sadness
18,880,m,adult,294,acted,MISLIT ĆU NA TEBE IDH I NJEGA IDH I NA BORNU TU POD STABLOM UDH ZASTAJK MENE NEĆEŠ MORAT NOSIT IDH,sadness,sadness,2.866895374,6.781332965,train,cres_v2.1/audio_files_16000/880.wav,sadness
19,1021,f,adult,294,acted,ISUSE BOŽE KAK STE ME PREPALI,fear,fear,4.038658138,5.880565649,train,cres_v2.1/audio_files_16000/1021.wav,fear
20,1024,f,adult,294,acted,ŠTO ß PORODILJNI BI IH SKUPO KOŠTAO CMIZDR,sadness,sadness,1.579921245,6.800209141,train,cres_v2.1/audio_files_16000/1024.wav,sadness
21,877,m,adult,293,acted,DEČKI ZASTAJK SVRATITE KOJI PUT NEMOJTE DA NAM KUĆA OSTANE PRAZNA,sadness,sadness,3.104481376,5.175015257,train,cres_v2.1/audio_files_16000/877.wav,sadness
22,1008,f,adult,289,acted,MLADEN I IVA SU MRTVI IDH UDH,fear,sadness,2.38928225,6.388482909,train,cres_v2.1/audio_files_16000/1008.wav,sadness
23,1004,f,adult,289,acted,NEZNAM IDH UDH MOŽDA BI SE TREBALI VRATIT DO ONIH VRATA ß IZAĆI NEKAKO VAN,fear,fear,2.289628926,7.881701356,train,cres_v2.1/audio_files_16000/1004.wav,fear
24,1005,f,adult,289,acted,PA JEBI GA KAKO DA NJIH NAĐEMO PA NAĆI ĆEMO IH,fear,fear,2.78581636,8.152889059,train,cres_v2.1/audio_files_16000/1005.wav,fear
25,1003,m,adult,288,acted,UUU JAKO SE BOJIM UFH NEMOJ BRANKO MOLIM TE,fear,fear,4.187009759,5.752073171,train,cres_v2.1/audio_files_16000/1003.wav,fear
26,851,m,adult,284,acted,U DANAŠNJEM UVODNIKU HUHU HU,happiness,happiness,7.069183133,6.215065771,train,cres_v2.1/audio_files_16000/851.wav,happiness
27,850,m,adult,284,acted,NEĆE HEHE HEHE NE ŽDERITE SE ZBOG TOGA,happiness,happiness,6.65493021,6.557643146,train,cres_v2.1/audio_files_16000/850.wav,happiness
28,847,m,adult,284,acted,NIJE ZBOG BETOVENA HEHE HEHE HE SPOMINJE TEHNIKU,happiness,happiness,6.874235028,4.128277817,train,cres_v2.1/audio_files_16000/847.wav,happiness
29,849,m,adult,284,acted,ON UOPĆE VOLI NJEMAČKU MUZIKU HOHO,happiness,happiness,6.640202212,5.504962731,train,cres_v2.1/audio_files_16000/849.wav,happiness
30,846,f,adult,283,acted,A VI STE OŽENJ,happiness,anger,4.835276684,6.271231194,train,cres_v2.1/audio_files_16000/846.wav,anger
31,955,f,adult,278,real,PA JA BI OSTALA KOD KUĆE AL AKO SE MORA IĆI IDEM,sadness,sadness,4.838200954,4.503687346,train,cres_v2.1/audio_files_16000/955.wav,sadness
32,828,m,adult,276,acted,KORBAČEV ZA PSE HE HEHE HEHE,happiness,happiness,6.007066038,5.999051117,train,cres_v2.1/audio_files_16000/828.wav,happiness
33,816,m,adult,271,acted,UDH PA RECITE MI MOLIM VAS KAKO GENERAL KVEJPODELJANO OSTARIO ŠTO HEMEROIDI ISPOVJEDA SE SVETOST GA SPOPALA HAA,happiness,anger,5.766554504,7.43398887,train,cres_v2.1/audio_files_16000/816.wav,anger
34,815,m,adult,271,acted,AAA MILUJETE HEHE HE UDH DA VAS ONA MOŽDA NE HRANI KAO NAJSTARIJI SIN KOD FIRME VAŠU LEGITIMACIJU MOLIM TAKVO UHO VRIJEDI VIŠE OD OSAM DEBELIH KRAVA HMM HAHA HAHA HAHA,happiness,happiness,6.729195191,6.378635288,train,cres_v2.1/audio_files_16000/815.wav,happiness
35,809,m,adult,269,acted,TRESIĆ PAVIČIĆ,happiness,happiness,6.417924383,6.756529644,train,cres_v2.1/audio_files_16000/809.wav,happiness
36,806,m,adult,269,acted,CVIKER ZASTAJK A IZMJENIO SE JA,happiness,happiness,6.155854177,6.319653132,train,cres_v2.1/audio_files_16000/806.wav,happiness
37,944,f,adult,267,real,JEZIVO ß NE MOGU VAM OPISATI ŠTA SMO DOŽIVELI MI SMO UDH PO BAŠTAMA IŠLI OKOLO TRAŽILI ŠTA DA JEDEMO NISMO IMALI ŠTA NI JEST,sadness,sadness,2.381703997,5.517295819,train,cres_v2.1/audio_files_16000/944.wav,sadness
38,938,f,adult,267,real,JEZIVO ß DECU NISAM TRI MESECA VIDELA,sadness,sadness,1.505664619,6.492543841,train,cres_v2.1/audio_files_16000/938.wav,sadness
39,803,m,adult,263,acted,DOBRO DOŠLI U KUĆU MOMCI ŽIVIO MOCA JOCA RASKOMOTITE SE DE SEDI ZASTAJK AJDE,happiness,happiness,8.14596555,6.360383938,train,cres_v2.1/audio_files_16000/803.wav,happiness
40,929,m,adult,262,acted,DER A JEBATE KOLIKO SMO SE MI TOGA NAPIVALI U IMIGRACIJI A HAHA HAA JEBATE,happiness,happiness,8.674350924,7.507413676,train,cres_v2.1/audio_files_16000/929.wav,happiness
41,926,m,adult,262,acted,E ON BI MOGA ON JE BUDALA H HAHA BAŠ BI ON MOGA KUPIT JAPANCU,happiness,happiness,6.622743671,6.054758812,train,cres_v2.1/audio_files_16000/926.wav,happiness
42,785,m,adult,254,acted,OOO VELEČASNE OPET VI ZASTAJK SAMO NAPRED NIŠ SE NEBOJTE ZASTAJK AJDE AJDE IDEMO,happiness,happiness,6.651575105,6.110627841,train,cres_v2.1/audio_files_16000/785.wav,happiness
43,784,m,adult,254,acted,OOO SUSEDA SUSEDICA MOJA UDH ZNAL SAM JA DA JE PITANJE VURE KAD BUŠ DOŠLA K MENI UDH,happiness,happiness,7.053847064,6.179986109,train,cres_v2.1/audio_files_16000/784.wav,happiness
44,780,f,adult,253,acted,HIHI HIHI UDH TO SAM I MISLILA,happiness,happiness,7.601435999,3.949602343,train,cres_v2.1/audio_files_16000/780.wav,happiness
45,786,f,adult,253,acted,MAMIN IMPOTENTNI KRETEN IDH HAHA HAHA UDH UDH,happiness,happiness,5.441320143,6.509370834,train,cres_v2.1/audio_files_16000/786.wav,happiness
46,758,m,adult,250,acted,RAČUNAO SAM SVE UZEVŠI U OBZIR VELIČINU RESTORANA MOŽDA JE POBJEGLA,fear,anger,3.711394768,8.295471487,train,cres_v2.1/audio_files_16000/758.wav,anger
47,772,m,adult,248,acted,ZNAM DA ZVUČI LUDODODO ALI STVARNO,fear,fear,4.54536724,7.418812064,train,cres_v2.1/audio_files_16000/772.wav,fear
48,755,m,adult,248,acted,LJILJO MOLIM TE SHVATI ,fear,fear,3.804192047,7.019284802,train,cres_v2.1/audio_files_16000/755.wav,fear
49,744,m,adult,243,acted,ČEKAJ ČEKAJ BOLAN PA NEMOŠ ME SAMOG OSTAVIT,fear,fear,3.616554691,6.878644259,train,cres_v2.1/audio_files_16000/744.wav,fear
50,748,m,adult,241,acted,MOŽDA JE USPIO POBJEĆ,fear,fear,3.532183152,6.121410416,train,cres_v2.1/audio_files_16000/748.wav,fear
51,728,m,adult,234,acted,LARA DUŠO JA SAM TI OTAC,fear,sadness,4.370303211,4.047150647,train,cres_v2.1/audio_files_16000/728.wav,sadness
52,718,m,adult,227,acted,TEBI HVALA I ZASTAJK MISLI SAD NA SEBE,fear,sadness,4.824156788,3.897453565,train,cres_v2.1/audio_files_16000/718.wav,sadness
53,704,f,adult,218,real,ALI I MARIJINE TRI UNUKE I PRIJE NO ŠTO SMO IH UPOZNALI U HRVATSKOJ VEĆ SU OBIŠLE NEŠTO SVIJETA,neutral,neutral,6.801721816,3.126526705,train,cres_v2.1/audio_files_16000/704.wav,neutral
54,703,f,adult,218,real,SIGURNO NIKAD NEĆE BITI SVJETSKI POZNATE KAO ČEHOVLJEVE TRI SESTRE,neutral,neutral,5.407548474,3.737889127,train,cres_v2.1/audio_files_16000/703.wav,neutral
55,694,f,adult,213,real,PRIJAŠNJE PUŠENJE ISPRED ZGRADE ILI U WCU ZAPOSLENICI SU ZAMIJENILI KABINOM NA KOJU SU SE BEZ PROBLEMA NAVIKNULI,neutral,neutral,5.374217436,4.346241831,train,cres_v2.1/audio_files_16000/694.wav,neutral
56,688,m,adult,209,real,BRAK JE JEDNO OTAJSTVO,neutral,neutral,6.529027201,3.724530736,train,cres_v2.1/audio_files_16000/688.wav,neutral
57,685,m,adult,209,real,TAJ DAN U ZAGREBU PODIJELJENO OKO ŠESTO OBROKA,neutral,neutral,5.477873517,4.692108877,train,cres_v2.1/audio_files_16000/685.wav,neutral
58,671,f,adult,204,acted,TU JA SIROTA PROVODIM DANE DALEKO OD LJUDI DALEKO OD PUTA I JEDVA ČEKAM DA NETKO DOĐE,sadness,sadness,4.664377445,4.167218256,train,cres_v2.1/audio_files_16000/671.wav,sadness
59,666,f,adult,202,acted,DAN DA MISLIM DA ĆE ON OD NEKUD IPAK DOĆI,sadness,sadness,3.80445689,5.683051622,train,cres_v2.1/audio_files_16000/666.wav,sadness
60,650,f,adult,198,real,I NEKE OSOBE VANI ISPALA DA MOŽEŠ,sadness,sadness,3.993339394,6.743578143,train,cres_v2.1/audio_files_16000/650.wav,sadness
61,649,f,adult,198,real,SUPER PRIKAZANA KO I JOSIPA I KO NEZNAM KO CMIZDR A OPĆE SVI ZNAJU UNUTRA,sadness,sadness,2.343500897,7.089828368,train,cres_v2.1/audio_files_16000/649.wav,sadness
62,652,f,adult,198,real,NE NEGO CMIZDR NAJGORE ONDA CMIZDR DA VANI ISPADNE NEŠTO A TOTALNO JE DRUGO CMIZDR,sadness,sadness,1.990677387,7.187999435,train,cres_v2.1/audio_files_16000/652.wav,sadness
63,651,f,adult,198,real,NE GOVORI O NEKIM POKVARENIM LJLJLJUDIMA I O LICOMJERSTVU A PRVA KOJA JE LICOMJERNA JE ONA,sadness,sadness,2.48057079,7.395777109,train,cres_v2.1/audio_files_16000/651.wav,sadness
64,642,f,adult,195,acted,VRATI SE KUĆI NE SRAMOTI SVOJU OBITELJ,sadness,sadness,2.279050503,4.745748762,train,cres_v2.1/audio_files_16000/642.wav,sadness
65,610,f,adult,186,real,VOLIM TE NAJVIŠE UZ TEBE SAM,sadness,sadness,2.874278765,8.254824698,train,cres_v2.1/audio_files_16000/610.wav,sadness
66,598,f,adult,186,real,KAD IZAĐEŠ IZ ISPOVJEDAONICE KROZ TAJNA VRATA UĐI U HODNIK UDH POZVONI NA ZVONCE ZELENE SOBE UĐI U SOBU U SOBI TE ČEKA PISMO S IDH DALJNJIM IDH UPUTAMA,sadness,sadness,2.526417453,7.016108242,train,cres_v2.1/audio_files_16000/598.wav,sadness
67,602,f,adult,186,real,JAKO TE VOLIMO I TUŽNI SMO KAD NA TVOM LICU VIDIMO SUZE SMRC ŽELIMO DA TVOM LICU STALNO BUDE OSMJEH,sadness,sadness,3.019374895,6.552260985,train,cres_v2.1/audio_files_16000/602.wav,sadness
68,622,f,adult,186,real,VAZDA SI GOVORILA DA U SVEMU IDEŠ DO KRAJA PA TAKO ŽELIM DA SAD BUDE,sadness,sadness,2.329588249,7.586706977,train,cres_v2.1/audio_files_16000/622.wav,sadness
69,619,f,adult,186,real,TVOJA MAMA ŽELI DA TI BUDEŠ JAKA KAO I DO SADA I DA NE MISLIŠ NA ANTU LOVRIĆA CMIZDR,sadness,sadness,1.87015716,7.794584048,train,cres_v2.1/audio_files_16000/619.wav,sadness
70,618,f,adult,186,real,I TI NEŠTO JE NAJLJEPŠE ŠTO ČOVJEK MOŽE VIDJET I POŽELITI IDH ,sadness,sadness,4.346943868,6.980488862,train,cres_v2.1/audio_files_16000/618.wav,sadness
71,603,f,adult,186,real,ON VIŠE NE MISLI NA TEBE,sadness,sadness,2.257609831,6.331921684,train,cres_v2.1/audio_files_16000/603.wav,sadness
72,605,f,adult,186,real,IMA NOVU DJEVOJKU UDH I ZA TEBE VIŠE NE ŽELI ZNAT,sadness,sadness,1.623049435,8.347656846,train,cres_v2.1/audio_files_16000/605.wav,sadness
73,551,f,child,172,acted,ŠTO KAŽETE,fear,fear,4.42079458,7.42035246,train,cres_v2.1/audio_files_16000/551.wav,fear
74,554,f,child,172,acted,NEMOJTE GA ZATVORITI MOLIM VAS IVICE BRATE MOJ JAO,fear,fear,2.217182726,8.458920321,train,cres_v2.1/audio_files_16000/554.wav,fear
75,552,f,child,172,acted,NIJE MOGUĆE UDH NIJE MOGUĆE,fear,sadness,2.27331968,7.474306432,train,cres_v2.1/audio_files_16000/552.wav,sadness
76,547,f,child,172,acted,JAO IVICE BRATE ZAMISLI ZAMISLI SAMO DA SE NI OTAC NI MAJKA VIŠE NE VRATE,fear,fear,2.689634622,4.535362282,train,cres_v2.1/audio_files_16000/547.wav,fear
77,558,f,child,172,acted,HOĆU HOĆU RADIT ĆU DANJU I NOĆU NEMOJTE NEMOJTE,fear,fear,1.907657362,8.003946972,train,cres_v2.1/audio_files_16000/558.wav,fear
78,550,f,child,172,acted,ZAŠTO SOVA NE SPAVA,fear,fear,4.269889589,4.487135331,train,cres_v2.1/audio_files_16000/550.wav,fear
79,556,f,child,172,acted,OČE I MAJČICE GDJE STE GDJE STE POMOZITE,fear,fear,1.487077069,8.520348845,train,cres_v2.1/audio_files_16000/556.wav,fear
80,544,f,adult,171,acted,DAJ PUSTI TE NAS NA MISU GROŠ IDEMO,fear,fear,2.559793179,6.297129299,train,cres_v2.1/audio_files_16000/544.wav,fear
81,887,m,adult,170,acted,GOTOVO ZASTAJK NE PRATIM GA VIŠE,sadness,fear,4.406783237,5.104170986,train,cres_v2.1/audio_files_16000/887.wav,fear
82,885,m,adult,170,acted,VI NJU ZASTAJK DOISTA VOLITE,sadness,sadness,4.611053809,5.244490573,train,cres_v2.1/audio_files_16000/885.wav,sadness
83,505,m,adult,151,acted,DA TO JE TO DUH BROZA TITA JOSIPA NA IZLAZU IZ GROBLJA IZRONIO IZ MAGLE PRVO SMO ČULI KORAKE TUP TAP TUP TAP ,fear,fear,3.296669853,6.803806108,train,cres_v2.1/audio_files_16000/505.wav,fear
84,495,f,child,146,acted,ZOVEM SE CRVENKAPICA A MOJA JE I KOŠARICA NOŠIM NEŠTO SVOJOJ BAKI ŠTO STANUJE ČAK NA DRUGOM KRAJU ŠUME,happiness,happiness,8.147282865,5.870541618,train,cres_v2.1/audio_files_16000/495.wav,happiness
85,481,f,child,144,acted,IVICE BRATE MILI PA TO JE KAO U PRIČI,happiness,happiness,7.403962595,7.601540725,train,cres_v2.1/audio_files_16000/481.wav,happiness
86,466,f,adult,140,real,UDH AL PAZI ČUJ TI TEORIJU,happiness,happiness,5.168103306,7.18426838,train,cres_v2.1/audio_files_16000/466.wav,happiness
87,458,f,adult,140,real,A JELENA DOBRO KAŽE PUSTI JE DA VIDIMO ŠTA ĆE,happiness,anger,4.786237884,6.646177879,train,cres_v2.1/audio_files_16000/458.wav,anger
88,463,f,adult,140,real,TRUDNA JEBOTE ČUJ ŠTA,happiness,anger,3.419681075,6.633627233,train,cres_v2.1/audio_files_16000/463.wav,anger
89,464,f,adult,140,real,LJUBI MI SE U USTA,happiness,neutral,6.590434182,6.400746795,train,cres_v2.1/audio_files_16000/464.wav,neutral
90,459,f,adult,140,real,HAHA KAŽE JELENA PA PUSTI JE DA VIDIMO,happiness,happiness,6.182025468,6.527035945,train,cres_v2.1/audio_files_16000/459.wav,happiness
91,447,f,adult,137,real,JA SAM JELA TI SI HANA NEMOJ SRAT HAHA,happiness,happiness,7.413674027,4.806986099,train,cres_v2.1/audio_files_16000/447.wav,happiness
92,445,f,adult,137,real,I SVI SU IMALI ROGOVE,happiness,sadness,3.342638793,4.868078031,train,cres_v2.1/audio_files_16000/445.wav,sadness
93,434,f,adult,135,real,VIDIŠ TI ŠTA JE JOGA AAA MICKO,happiness,neutral,6.190941661,3.954736639,train,cres_v2.1/audio_files_16000/434.wav,neutral
94,425,f,adult,133,real,UDH ON IMA TEORIJU ČIŠČE,happiness,happiness,5.682864292,7.374511712,train,cres_v2.1/audio_files_16000/425.wav,happiness
95,422,f,adult,133,real,ŠTEFICA BI TE TUKLA,happiness,happiness,6.886915979,5.688382736,train,cres_v2.1/audio_files_16000/422.wav,happiness
96,412,f,adult,129,acted,SUPER JE SUPER JE RECENZIJA,happiness,happiness,6.839250621,5.058197284,train,cres_v2.1/audio_files_16000/412.wav,happiness
97,413,f,adult,129,acted,NE TO JE TO TO JE TO RAZVALIO SI IH BAŠ KAKO TREBA,happiness,happiness,6.570813133,5.032645387,train,cres_v2.1/audio_files_16000/413.wav,happiness
98,414,f,adult,129,acted,MA DAJ PA DA NEMAŠ MUDA NE BI NIKAD NAPISAO ONAKAV TEKST O ONOM RESTORANU,happiness,neutral,5.889847498,4.902459461,train,cres_v2.1/audio_files_16000/414.wav,neutral
99,392,m,adult,119,real,EVO STIPE I KOZA,happiness,happiness,7.478115921,4.836647954,train,cres_v2.1/audio_files_16000/392.wav,happiness
100,389,m,adult,117,real,MISLIM DA JE INFARKT DOBILO HAHA,happiness,happiness,6.46064712,7.045850549,train,cres_v2.1/audio_files_16000/389.wav,happiness
101,384,m,adult,117,real,SAD SAMO SAMO SE DRŽI,happiness,fear,4.348376427,6.271158259,train,cres_v2.1/audio_files_16000/384.wav,fear
102,377,m,adult,115,real,EVO GA BLATOBLA,happiness,happiness,7.312582304,5.597096099,train,cres_v2.1/audio_files_16000/377.wav,happiness
103,349,f,adult,97,acted,NAŠA MAJA TE MRZI IZ DNA DUŠE ALI ŠTA ĆE SE SKIRAT ZBOG TOGA NISI NI TI VOLIO SVOG TATU PUSTI BIT ĆE CURA DOBRA,neutral,neutral,3.912661726,2.79780736,train,cres_v2.1/audio_files_16000/349.wav,neutral
104,350,f,adult,97,acted,MOGLI BI I SATOVI DA KUCAJU A NJIHOVA STAKALCA KAO OGLEDALCA DA SVJETLUCAJU SVJETLUCAJU,neutral,happiness,6.857899394,6.782362915,train,cres_v2.1/audio_files_16000/350.wav,happiness
105,344,f,adult,95,acted,ZNAM DA U SRCU NJENOM I STRAH JE I TUGA BAŠ KAO I TVOME,neutral,neutral,5.587695698,1.399252522,train,cres_v2.1/audio_files_16000/344.wav,neutral
106,343,f,adult,95,acted,A KOD NAS GLEDAJ U KUĆI DRVA NEMA DOK IZA BRDA BIJELA VEĆ SE I ZIMA SPREMA,neutral,sadness,5.127457625,3.227008847,train,cres_v2.1/audio_files_16000/343.wav,sadness
107,339,f,adult,94,real,ß ZNATE ŠTA KOD ß PO MENI ŽENSTVENOST SE OČITUJE ß U POGLEDU U NAČINU OPHOĐENJA U SAMOPOUZDANJU U TOJ NEKOJ SENZUALNOSTI I SLOŽILA BI SE SA GOSPODINOM OVAJ DA SEKSUALNOST ß NEMA MNOGO VEZE SA ŽENSTVENOŠČU MHM TO JE TO SU DVIJE RAZLIČITE ß STVARI EROTIZIRANA ŽENSKA JE OVAJ SEKSUALNO KOJA JE PRIVLAČNA MISLIM DA ONA NE MORA BITI I ŽENSTVENA,neutral,neutral,5.815182921,4.378798384,train,cres_v2.1/audio_files_16000/339.wav,neutral
108,332,f,adult,89,real,U SLUČAJU ß KAD SE PROBIJE DA TO TAKO SLIKOVITO KAŽEM UDH ß TAJ LIMIT DA IDH KAD GOVORIMO O VLADI O MINISTRIMA MINISTRI MORAJU DATI MANDAT NA RASPOLAGANJE,neutral,neutral,4.087298169,3.831571092,train,cres_v2.1/audio_files_16000/332.wav,neutral
109,315,m,adult,79,real,KAD KAŽEM ŽENE MISLIM PRIJE SVEGA NA ONAJ DIO UDH KOJI SE ODNOSI NA ŽENSTVENOST,neutral,neutral,6.517294384,3.915232177,train,cres_v2.1/audio_files_16000/315.wav,neutral
110,256,f,adult,60,acted,MA ŠTA SI TI MENI DA TI SE JA IMAN OBAJŠNJAVAT ĆAĆA,anger,anger,2.003116883,8.389708078,train,cres_v2.1/audio_files_16000/256.wav,anger
111,283,f,adult,60,acted,EVO VIDIŠ O TOME TI GOVORIM STALNO JE NEKO DRUGI KRIV NIJE BRACO HOĆU NEKOG TKO ĆE SE NEČEG OZBILJNO UHVATIT,anger,anger,2.775212892,7.902555726,train,cres_v2.1/audio_files_16000/283.wav,anger
112,269,f,adult,60,acted,DONESI VODICU NALOŽI VATRICU,anger,anger,4.000551483,7.269627228,train,cres_v2.1/audio_files_16000/269.wav,anger
113,266,f,adult,60,acted,JA NE IDEM NIKAM CIJELI ŽIVOT TU SLUŽIM,anger,anger,2.885711605,6.376226613,train,cres_v2.1/audio_files_16000/266.wav,anger
114,241,f,adult,55,real,OVAJ ZOVE PLAČE VOLIM TE OVAJ ISTO TO OVAJ SERE PO OVOM UDH JA KAŽEM DAJ OKANITE ME SE OBADVOJICA,anger,neutral,3.596713296,4.793808446,train,cres_v2.1/audio_files_16000/241.wav,neutral
115,233,f,adult,55,real,JA VIŠE NEĆU BIT NA KRAVAMA,anger,anger,3.519566978,7.382198954,train,cres_v2.1/audio_files_16000/233.wav,anger
116,239,f,adult,55,real,TI JOŠ JEDNOM TO RECI I NEĆU PRIČAT S TOBOM KUNEM,anger,anger,3.12521719,6.178143604,train,cres_v2.1/audio_files_16000/239.wav,anger
117,235,f,adult,55,real,ONDA MI KAŽI BIT ĆU NA SVINJAMA PA DA JA ZNAM DA ONDA RADIM SVE,anger,anger,3.101156697,7.474240208,train,cres_v2.1/audio_files_16000/235.wav,anger
118,206,f,adult,50,real,ISPALO TI DA ZNAŠ ZAŠTO JER SAM JA,anger,neutral,4.77227576,5.914380848,train,cres_v2.1/audio_files_16000/206.wav,neutral
119,212,f,adult,50,real,NIJE TU SREĆU ZNAŠ TI NEMA ŠANSE,anger,anger,3.243301033,4.526108723,train,cres_v2.1/audio_files_16000/212.wav,anger
120,202,f,adult,49,real,ß O ČEM PRIČAMO ALI OD KUD JE PRAVO DA TAK NEŠ IZJAVI,anger,anger,2.913210036,5.693354883,train,cres_v2.1/audio_files_16000/202.wav,anger
121,183,f,adult,42,acted,NA KOG BI JA TO TREBALA BIT LJUBOMORNA NA LIDIJU MOŽDA,anger,anger,3.290188969,4.993138831,train,cres_v2.1/audio_files_16000/183.wav,anger
122,184,f,adult,42,acted,ŠTA SI JE TAJ MALI UMISLIO DA MOŽE SMRC SVAKU ŽENSKU KOJU VIDI PIPAT,anger,anger,3.400958172,7.175137123,train,cres_v2.1/audio_files_16000/184.wav,anger
123,181,f,adult,41,acted,GUBITE SE U PIČKU MATERINU NAJEBAT ĆETE OBA DVIJE KURVETINE,anger,anger,1.484246374,8.475693227,train,cres_v2.1/audio_files_16000/181.wav,anger
124,130,m,adult,31,acted,I PO NOĆU KAD MU RADIM NA MAJKU TULI KO BIK JEBEM GA LUDA,anger,anger,4.078937781,5.975748288,train,cres_v2.1/audio_files_16000/130.wav,anger
125,136,m,adult,31,acted,NE IDEM DOMA I GOTOVO PUSTIM ME S TIM DOMA,anger,anger,3.093964987,6.08734691,train,cres_v2.1/audio_files_16000/136.wav,anger
126,143,m,adult,31,acted,BOLI ME KURAC,anger,anger,2.709569899,7.898803359,train,cres_v2.1/audio_files_16000/143.wav,anger
127,133,m,adult,31,acted,KOGA JEBE,anger,anger,2.69723687,7.803327851,train,cres_v2.1/audio_files_16000/133.wav,anger
128,140,m,adult,31,acted,KOGA JEBE,anger,anger,2.847062929,7.930361656,train,cres_v2.1/audio_files_16000/140.wav,anger
129,120,m,adult,31,acted,ZAVRŠIT ĆEŠ U ŽUTU KUĆU JEBA MI BOG MATER KAD MORAN TAKO REĆ,anger,anger,1.907969865,8.390447801,train,cres_v2.1/audio_files_16000/120.wav,anger
130,131,m,adult,31,acted,TI MI NISI MAMA,anger,anger,2.787784478,7.143232754,train,cres_v2.1/audio_files_16000/131.wav,anger
